layer,code,seq,name,removed_from_gmaps,lat,lon,source_url,description
mosque,北海01,003,室蘭モスク,False,42.3765086,141.0350487,https://www.google.com/maps?cid=11332280779883093832,GMap情報：https://www.google.com/maps?cid=11332280779883093832
mosque,北海02,004,マスジド・アル・ヌール小樽,False,43.2040902,140.9971417,http://islam.co.jp/sp/masjid/hokkaido/otaru/,http://islam.co.jp/sp/masjid/hokkaido/otaru/<br>https://www.instagram.com/explore/locations/1026079612/masjid-al-noor-otaru<br>https://www.facebook.com/halalfoodinjapan/posts/masjid-al-noor-otaru-in-hokkaido-japan-officially-registered-as-an-islamic-relig/2782522665352112<br>http://www.asahi.com/area/hokkaido/articles/MTW20180416011580001.html<br>公式ドメイン期限切れのため不明 2018年朝日新聞の記事より
mosque,北海03,005,★ヌサンタラ文化センター Masjid Asahikawa,True,43.7698943,142.3523972,https://www.instagram.com/masjidnusantaraasahikawa,北海道旭川市3条通2丁目1011-1<br>googleマップ3月に登録削除した模様。<br>インスタ：https://www.instagram.com/masjidnusantaraasahikawa
mosque,北海04,007,札幌マスジド,False,43.077486,141.3476462,https://www.google.com/maps?cid=5650665989971537749,GMap：https://www.google.com/maps?cid=5650665989971537749<br>宗教法人 北海道イスラミックソサエティ<br>公式HP：https://sapporomasjid.or.jp/<br>インスタ：https://www.instagram.com/sapporomasjid.official/<br>Facebook：https://www.facebook.com/sapporomasjid<br>Wiki https://en.wikipedia.org/wiki/Sapporo_Masjid
mosque,北海05,008,★Asahikawa Masjid (旭川マスジド),True,43.7823851,142.3397141,https://www.google.com/maps?cid=12482844503860688084,3月中にgoogleマップから登録削除した模様<br>GMap：https://www.google.com/maps?cid=12482844503860688084<br>公式HP：https://asahikawamasjid.com/<br>HP リンク切れ 北洋銀行口座ドネーション
mosque,北海06,282,江別マスジド,False,43.1266655,141.495699,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gy6OBSOt10ySaOkaDzYg4tBhjkpNDgZRilUAijhPi4XUeeRVmUmobbrNG9j6lozk_Epn41nRluYKT0Q26bnFZinTq93uvpGSdP5h4FezOJB3cxG1MLeg5SRGk5llRPdw57VHWrszgEOD7Rxr1yTj-l6KtMTZx6hLfZ1Gx0wDvdtp90KWFQl9DcQbcTpqc6sVNYP_sZKMERPdHZaMT-6yYVIGN49wEDN_WPVVifr7IyuClCeamMeYBsdGCM?fife=s16383,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gy6OBSOt10ySaOkaDzYg4tBhjkpNDgZRilUAijhPi4XUeeRVmUmobbrNG9j6lozk_Epn41nRluYKT0Q26bnFZinTq93uvpGSdP5h4FezOJB3cxG1MLeg5SRGk5llRPdw57VHWrszgEOD7Rxr1yTj-l6KtMTZx6hLfZ1Gx0wDvdtp90KWFQl9DcQbcTpqc6sVNYP_sZKMERPdHZaMT-6yYVIGN49wEDN_WPVVifr7IyuClCeamMeYBsdGCM?fife=s16383"" height=""200"" width=""auto"" /><br>北海道江別市角山１７８−３<br>2026年3月時点で登録はなかったが、6月で登録されていたので登録。"
mosque,北海07,283,Masjid Nusantara Mombetsu,False,44.34118,143.3526882,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzGPsMwvDzMNckMwOZQtAghcGuzP0omZPf4mS2xQ-CaLvE2LVldJzVeUGNevZnN5XpMz5jKUG8KUUHRzOXoum_aIGYHky1sJ_6Y9Jff5n-TZ-_iRW3wb6spO7C3vz6cg1j85ZpgMM9NzZxupFjzXUg8EJdVpb9UPUgGICSbQBsEI3cZlMQp1ksJF-6eCJSZHs2eku3zxdzvWL3v7jt1K_zuEKC8nqxtTYbF9Rjd0T3-3REG1hvnq8BJ-t4?fife=s16383,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzGPsMwvDzMNckMwOZQtAghcGuzP0omZPf4mS2xQ-CaLvE2LVldJzVeUGNevZnN5XpMz5jKUG8KUUHRzOXoum_aIGYHky1sJ_6Y9Jff5n-TZ-_iRW3wb6spO7C3vz6cg1j85ZpgMM9NzZxupFjzXUg8EJdVpb9UPUgGICSbQBsEI3cZlMQp1ksJF-6eCJSZHs2eku3zxdzvWL3v7jt1K_zuEKC8nqxtTYbF9Rjd0T3-3REG1hvnq8BJ-t4?fife=s16383"" height=""200"" width=""auto"" /><br>北海道紋別市南が丘町３丁目６−６"
mosque,青森01,006,Madina Mosque মদিনা মসজিদ マディーナモスク,False,40.6396938,141.2999178,,
mosque,岩手01,002,Morioka Mosque,False,39.717609,141.1268061,,
mosque,岩手02,015,TAWHEED MOSQUE KITAKAMI‎‎‎,False,39.270682,141.1174019,,مسجد التوحيد _كيتاكامي• TAWHEED MOSQUE KITAKAMI‎‎‎‎‎‎
